-1	14282
-10	217
-100	2
-101	4
-102	1
-103	1
-104	1
-1050	1
-106	2
-107	2
-108	3
-11	153
-1102	1
-112	1
-113	2
-114	1
-119	1
-12	134
-120	3
-121	2
-125	2
-126	3
-127	1
-128	3
-13	123
-131	3
-132	2
-134	1
-137	1
-14	100
-140	4
-141	2
-143	1
-145	1
-146	2
-147	2
-148	2
-149	1
-15	90
-158	1
-159	1
-16	77
-161	1
-163	1
-167	1
-17	73
-170	1
-172	1
-176	1
-179	1
-18	57
-183	1
-187	1
-19	57
-190	1
-193	1
-194	1
-197	1
-2	4362
-20	62
-203	1
-21	53
-218	1
-22	41
-23	37
-234	1
-24	32
-246	1
-25	38
-26	30
-27	32
-278	2
-279	1
-28	20
-283	1
-29	24
-3	2149
-30	18
-305	1
-309	1
-31	14
-32	13
-33	18
-338	1
-34	24
-349	1
-35	12
-36	23
-37	13
-375	1
-38	10
-39	12
-396	1
-4	1319
-40	16
-41	8
-42	18
-43	8
-44	13
-45	14
-46	16
-47	11
-48	4
-49	10
-496	1
-5	824
-50	11
-51	10
-52	5
-53	10
-54	10
-55	11
-56	6
-57	5
-58	10
-59	7
-6	593
-60	4
-61	3
-62	4
-63	5
-64	2
-65	4
-66	3
-67	3
-68	3
-69	7
-7	420
-71	1
-72	2
-73	1
-74	1
-75	2
-77	6
-78	2
-79	2
-8	328
-80	2
-81	2
-82	1
-83	3
-84	1
-86	2
-87	1
-88	1
-89	1
-9	270
-90	1
-92	1
-93	1
-94	4
-95	1
-96	2
-97	1
-98	3
0	39474
1	7737
10	150
100	2
101	4
102	1
103	2
104	1
105	2
106	3
107	2
108	6
109	2
11	127
110	2
111	3
112	1
113	1
114	3
115	6
116	5
117	3
118	1
12	130
120	2
121	3
122	5
123	6
125	1
126	2
127	2
128	2
129	3
13	80
130	1
131	1
132	2
133	4
134	3
135	1
139	5
14	94
140	1
141	2
142	3
143	2
144	1
145	2
146	2
148	2
149	1
15	76
150	2
151	1
152	3
153	2
154	2
155	1
156	4
157	3
158	2
159	2
16	93
160	1
161	3
162	2
164	2
165	1
166	1
169	2
17	63
170	1
171	2
172	3
173	1
174	3
175	1
178	4
18	64
180	2
182	1
184	1
185	2
186	2
189	1
19	52
190	1
192	1
193	1
194	2
197	1
198	1
2	2664
20	38
201	1
203	2
21	45
215	1
22	30
23	43
239	1
24	24
25	27
258	1
26	41
27	21
278	1
28	27
29	29
3	1339
30	25
31	28
32	12
33	24
331	1
332	1
334	1
34	19
343	1
344	1
349	1
35	18
36	7
369	1
37	15
38	17
39	12
394	1
4	808
40	15
41	20
42	14
43	9
44	13
443	1
45	11
46	14
47	12
48	8
49	5
5	515
50	10
506	1
51	6
52	7
53	9
54	11
55	11
56	7
57	5
58	10
59	6
6	378
60	8
61	6
62	9
63	3
64	9
65	3
66	6
67	4
68	8
684	1
69	4
7	265
70	8
71	7
72	1
73	3
74	2
75	4
76	5
77	4
78	1
79	7
8	258
80	5
81	8
82	3
83	5
84	3
85	4
86	5
87	4
88	2
89	4
9	193
90	7
91	6
92	4
93	6
95	2
96	1
97	4
98	2
99	5
